anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
ContextAware,dense_numpy,What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?,Santa Clara Marriott,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose Marriott
ContextAware,dense_numpy,Where did the Panthers practice at for Super Bowl 50?,San Jose State practice facility,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose State
ContextAware,dense_numpy,Where did the Broncos practice at for Super Bowl 50?,Stanford University,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,Santa Clara Marriott
ContextAware,dense_numpy,Where did the Panthers practice for the Super Bowl?,San Jose State practice facility,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose State
ContextAware,dense_numpy,Where did the Broncos practice for the Super Bowl?,Stanford University,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,Santa Clara Marriott
ContextAware,dense_numpy,Where was the practice place the Panthers used for the Super Bowl?,San Jose,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose State
ContextAware,dense_numpy,Where hotel did the Panthers stay at?,San Jose Marriott.,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose Marriott
ContextAware,dense_numpy,Where did the Broncos practice for the Super Bowl?,Stanford University,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,Santa Clara Marriott
ContextAware,dense_numpy,Where did the Broncos stay at for Super Bowl 50?,Santa Clara Marriott.,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Levi's Stadium
ContextAware,dense_numpy,Who is the NFL's vice president of brand and creative?,Jaime Weston,"On June 4, 2014, the NFL announced that the practice of branding Super Bowl games with Roman numerals, a practice established at Super Bowl V, would be temporarily suspended, and that the game would b",madden
ContextAware,dense_numpy,Who is the trophy featured on the logo named for?,Vince Lombardi,"On June 4, 2014, the NFL announced that the practice of branding Super Bowl games with Roman numerals, a practice established at Super Bowl V, would be temporarily suspended, and that the game would b",Super Bowl 50
ContextAware,dense_numpy,In what year was it declared that no Roman numerals would be used in the name of the 50th Super Bowl?,2014,"On June 4, 2014, the NFL announced that the practice of branding Super Bowl games with Roman numerals, a practice established at Super Bowl V, would be temporarily suspended, and that the game would b",2014
ContextAware,dense_numpy,What was given to high schools where former students went on to play or coach in a Super Bowl?,Gold footballs,"Various gold-themed promotions and initiatives were held throughout the 2015 NFL season to tie into the ""Golden Super Bowl""; gold-tinted logos were implemented across the NFL's properties and painted ",Gold footballs
ContextAware,dense_numpy,Who is the mayor of San Francisco?,Ed Lee,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities",bloomberg
ContextAware,dense_numpy,Who is the city supervisor of San Francisco?,Jane Kim,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities",lee
ContextAware,dense_numpy,Who was the mayor of San Francisco during Super Bowl 50? ,Ed Lee,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities",bloomberg
ContextAware,dense_numpy,What was the name of the event at the The Embarcadero that was held prior to Super Bowl 50 to help show off some of the things that San Francisco has to offer?,Super Bowl City,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities","""Super Bowl City"""
ContextAware,dense_numpy,Where was the NFL Experience held for the 2015 season?,Moscone Center,"Various gold-themed promotions and initiatives were held throughout the 2015 NFL season to tie into the ""Golden Super Bowl""; gold-tinted logos were implemented across the NFL's properties and painted ",across the NFL's properties and painted on fields
ContextAware,dense_numpy,Who is the mayor of San Francisco?,Ed Lee,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities",bloomberg
ContextAware,dense_numpy,Who said the homeless in the area would have to leave?,mayor Ed Lee,"In the fall of 1937, after midnight one night, Tesla left the Hotel New Yorker to make his regular commute to the cathedral and the library to feed the pigeons. While crossing a street a couple of blo",Tesla
ContextAware,dense_numpy,"Where was a beer, wine and food festival held at prior to the Super Bowl?",Bellomy Field,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
ContextAware,dense_numpy,Who helped find sponsors and donors to help with the cost?,A professional fundraiser,"In addition, there are $2 million worth of other ancillary events, including a week-long event at the Santa Clara Convention Center, a beer, wine and food festival at Bellomy Field at Santa Clara Univ",A professional fundraiser
ContextAware,dense_numpy,Who set aside seed funding for the week-long event leading up to the Super Bowl?,city council,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created ",The committee
ContextAware,dense_numpy,Who may have been called upon to fund the festival associated with the Super Bowl in Santa Clara?,city council,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities",San Francisco city supervisor lee
ContextAware,dense_numpy,What was the name of the Media Day event for Super Bowl 50?,Super Bowl Opening Night,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",Super Bowl Opening Night
ContextAware,dense_numpy,What is the name of the property where the media event was held for Super Bowl 50?,SAP Center,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center
ContextAware,dense_numpy,Where was media day for Super Bowl 50 held?,SAP Center in San Jose.,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
ContextAware,dense_numpy,Where was the new media day event for Super Bowl 50 held?,SAP Center in San Jose.,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
ContextAware,dense_numpy,What is the name of the program that provides contracting work to local companies?,Business Connect,"Teaching may be carried out informally, within the family, which is called homeschooling, or in the wider community. Formal teaching may be carried out by paid professionals. Such professionals enjoy ",Chartered or CPA
ContextAware,dense_numpy,"Which committee made an effort to invite companies owned by people, who are transgender or gay, to take part in contract business associated with Super Bowl 50.",Super Bowl 50 Host Committee,"For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl pro",Super Bowl 50 Host Committee
ContextAware,dense_numpy,What is the name of the service that gets local businesses contract chances with the Super Bowl?,Business Connect,"For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl pro",Business Connect
ContextAware,dense_numpy,What is the name of the Host Committee's charitable initiative?,the 50 fund,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created ",the 50 fund
ContextAware,dense_numpy,What was the name of the fund setup to help with investing in the community? ,50 fund,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created ",the 50 fund
ContextAware,dense_numpy,"What is the name of the fund that focuses on youth, community and sustainable environments?",the 50 fund,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created ",the 50 fund
ContextAware,dense_numpy,What was the name of the work to give grants for youth development and other things?,50 fund,"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created ",the 50 fund
ContextAware,dense_numpy,Who is the trophy given to the Super Bowl champion named for?,Vince Lombardi,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,the 50th Super Bowl
ContextAware,dense_numpy,"Who designed the ""50""?",Tiffany & Co.,"In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated ""50"". Each digit will weigh 33 lb (15 kg) fo",Tiffany & Co
ContextAware,dense_numpy,Who designed the Vince Lombardi Trophy?,Tiffany & Co.,"In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated ""50"". Each digit will weigh 33 lb (15 kg) fo",Tiffany & Co
ContextAware,dense_numpy,What is the name of the trophy given to anyone who plays on the winning team in a Super Bowl?,Vince Lombardi Trophy,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
ContextAware,dense_numpy,"Who is the designer of the ""50?""",Tiffany & Co,"In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated ""50"". Each digit will weigh 33 lb (15 kg) fo",Tiffany & Co
ContextAware,dense_numpy,What is the name of the trophy that all Super Bowl winners receive?,the Vince Lombardi Trophy,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Super Bowl L
ContextAware,dense_numpy,"Who designs both the ""50"" as well as the Trophy?",Tiffany & Co.,"In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated ""50"". Each digit will weigh 33 lb (15 kg) fo",Tiffany & Co
ContextAware,dense_numpy,"Who, with Jim Nantz, was a member of the game's lead broadcast team?",Phil Simms,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",harlan
ContextAware,dense_numpy,Who shared sideline duties with Evan Washburn?,Tracy Wolfson,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",harlan and harlan
ContextAware,dense_numpy,Where was Tracy Wolfson announcing from during the Super Bowl 50 game?,sidelines,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",a replica of the Golden Gate Bridge
ContextAware,dense_numpy,Where was Evan Washburn located while announcing during the game?,sidelines,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",on a replica of the Golden Gate Bridge
ContextAware,dense_numpy,Who were the announcers of Super Bowl 50?,Jim Nantz and Phil Simms,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",39 of the 43 previous Super Bowl Most Valuable Players
ContextAware,dense_numpy,Who were the Super Bowl 50 sideline announcers?,Tracy Wolfson and Evan Washburn,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V)
ContextAware,dense_numpy,Who reported on the sideline for ESPN Deportes?,John Sutcliffe,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",marty and rodriguez
ContextAware,dense_numpy,Who provided Spanish-language commentary alongside Raul Allegre?,Alvaro Martin,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",marty
ContextAware,dense_numpy,Who exclusively broadcast the game in Spanish after reaching an agreement with the NFL and CBS?,ESPN Deportes,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",ESPN Deportes
ContextAware,dense_numpy,Who was the sideline reporter for ESPN Deportes?,John Sutcliffe.,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",marty and rodriguez
ContextAware,dense_numpy,Who were the ESPN Deportes commentators for Super Bowl 50?,Alvaro Martin and Raul Allegre,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",marty and rodriguez
ContextAware,dense_numpy,Who was the ESPN Deportes sideline commentator for Super Bowl 50?,John Sutcliffe.,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",marty and rodriguez
ContextAware,dense_numpy,What was the domain name of the site that streamed the Super Bowl 50 game? ,CBSSports.com,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Super Bowl L
ContextAware,dense_numpy,Which smartphone customers were the only people who could stream the game on their phones?,Verizon Wireless customers,"CBS provided digital streams of the game via CBSSports.com, and the CBS Sports apps on tablets, Windows 10, Xbox One and other digital media players (such as Chromecast and Roku). Due to Verizon Commu",Verizon Wireless customers
ContextAware,dense_numpy,Where was the ESPN Deportes Spanish version of Super Bowl 50 available?,WatchESPN.,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-",ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game
ContextAware,dense_numpy,Which company was given permission to air TV commercials during Super Bowl 50 at a discounted price?,Anheuser-Busch InBev,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers",Anheuser-Busch InBev
ContextAware,dense_numpy,Which company held a contest whereupon contestants could enter for a chance to have their own commercial shown during Super Bowl 50?,Doritos,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",CBS
ContextAware,dense_numpy,Who made their Super Bowl commercial debut with Nintendo?,The Pokémon Company,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers",The Pokémon Company
ContextAware,dense_numpy,Which company has been able to air multiple ads at a steep discount?,Anheuser-Busch InBev,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers",Anheuser-Busch InBev
ContextAware,dense_numpy,Which company has held contests for fans to  create their own ad for the company?,Doritos,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers",Doritos
ContextAware,dense_numpy,What was the name of the contest sponsored by QuickBooks?,"""Small Business Big Game""","QuickBooks sponsored a ""Small Business Big Game"" contest, in which Death Wish Coffee had a 30-second commercial aired free of charge courtesy of QuickBooks. Death Wish Coffee beat out nine other conte",Small Business Big Game
ContextAware,dense_numpy,Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers",Doritos
ContextAware,dense_numpy,"Which company sponsored a contest called ""Small Business Big Game""?",QuickBooks.,"QuickBooks sponsored a ""Small Business Big Game"" contest, in which Death Wish Coffee had a 30-second commercial aired free of charge courtesy of QuickBooks. Death Wish Coffee beat out nine other conte",QuickBooks
ContextAware,dense_numpy,Which company had a commercial aired for free as a result of the Quickbooks contest?,Death Wish Coffee,"QuickBooks sponsored a ""Small Business Big Game"" contest, in which Death Wish Coffee had a 30-second commercial aired free of charge courtesy of QuickBooks. Death Wish Coffee beat out nine other conte",Death Wish Coffee
ContextAware,dense_numpy,Who won the competition to get a free Super Bowl commercial aired?,Death Wish Coffee,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
ContextAware,dense_numpy,Who did play-by-play on Westwood One?,Kevin Harlan,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",allen
ContextAware,dense_numpy,Who handled pre-game coverage on Westwood One?,Jim Gray,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",harlan
ContextAware,dense_numpy,"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play ",logan
ContextAware,dense_numpy,Who shared sideline reporting duties with Mark Malone?,James Lofton,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",harlan and harlan
ContextAware,dense_numpy,Who announced the game play-by-play for Super Bowl 50?,Kevin Harlan,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with arab numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50"
ContextAware,dense_numpy,Who will carry the game throughout all of North America?,Westwood One,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",Westwood One
ContextAware,dense_numpy,Who is the play-by-play announcer for the game?,Kevin Harlan,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",allen
ContextAware,dense_numpy,Who covered the halftime coverage?,Jim Gray,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
ContextAware,dense_numpy,Who was the announcer for Westwood One's Super Bowl 50 coverage?,Kevin Harlan,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",allen
ContextAware,dense_numpy,Who were the Westwood one color analysts?,Boomer Esiason and Dan Fouts,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",harlan and williams
ContextAware,dense_numpy,Who were the Westwood One sideline announcers?,James Lofton and Mark Malone,"Westwood One will carry the game throughout North America, with allen as play-by-play announcer, harlan and williams as color analysts, and harlan and harlan as sideline reporters. harlan will anchor ",harlan and williams
ContextAware,dense_numpy,Who handled play-by-play for the Denver radio market?,Dave Logan,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play ",KOA (850 AM) and KRFX (103.5 FM)
ContextAware,dense_numpy,Who did play-by-play for the WBT broadcast?,Mick Mixon,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play ",logan and robinson
ContextAware,dense_numpy,Who handled the play-by-play for the Denver radio stations?,Dave Logan,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play ","KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play and robinson on color commentary"
ContextAware,dense_numpy,Who handled the color commentary for Denver's radio stations?,Ed McCaffrey,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play ",robinson
ContextAware,dense_numpy,Who handled the play-by-play for WBT?,Mick Mixon,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with espn on play-by-play ",logan on play-by-play and logan and robinson on color commentary
ContextAware,dense_numpy,Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?,Darren Fletcher,"In the United Kingdom, BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC will carry its own British English broadcast, with fletcher, kenny and fletcher on commentary.","fletcher, kenny and fletcher"
ContextAware,dense_numpy,"British commentators include, Darren Fletcher, Rocky Boiman and who else?",Greg Brady,"In the United Kingdom, BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC will carry its own British English broadcast, with fletcher, kenny and fletcher on commentary.",kenny
ContextAware,dense_numpy,Who was the Most Valuable Player of Super Bowl II?,Bart Starr,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_numpy,Who was the Most Valuable Player of Super Bowl XLI?,Peyton Manning,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",martin
ContextAware,dense_numpy,Who is the present quarterback of the Broncos?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ",anderson
ContextAware,dense_numpy,Who was the MVP of Super Bowl I and II?,Bart Starr,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",manning
ContextAware,dense_numpy,Who was the MVP of Super Bowl XLI?,Peyton Manning,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",martin
ContextAware,dense_numpy,Who sang the national anthem?,Lady Gaga,"Six-time Grammy winner and Academy Award nominee beyonce performed the national anthem, while Academy Award winner beyonce provided American Sign Language (ASL) translation.",beyonce
ContextAware,dense_numpy,Who did the National Anthem at Super Bowl 50?,Lady Gaga,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,the American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion buffalo 24–10 to earn their third Super Bowl title
ContextAware,dense_numpy,Who did the Super Bowl 50 National Anthem?,Lady Gaga,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with arab numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."
ContextAware,dense_numpy,Who did the sign language of the National Anthem at Super Bowl 50?,Marlee Matlin,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion buffalo 24–10 to earn their third Super Bowl title
ContextAware,dense_numpy,What was the name of the single that Coldplay and Beyoncé collaborated on?,"""Hymn for the Weekend""","In late November 2015, reports surfaced stating that ""multiple acts"" would perform during the halftime show. On December 3, the league confirmed that the show would be headlined by the British rock gr",Hymn for the Weekend
ContextAware,dense_numpy,Who lead the halftime show of Super Bowl 50?,Coldplay.,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
ContextAware,dense_numpy,Who headlined the Super Bowl 50 halftime show?,Coldplay.,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
ContextAware,dense_numpy,Who was at the receiving end of a 22-yard pass from Peyton Manning?,Andre Caldwell,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,Owen Daniels
ContextAware,dense_numpy,Who lost 3 yards on a tackle by Shaq Thompson?,Ronnie Hillman,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Denver
ContextAware,dense_numpy,Who kicked a field goal for Denver?,Brandon McManus,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro","Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback manning gave the Broncos a new set of downs. Then denver scored on a 2-yard touchdown run and anderson completed a pass to anderson for a 2-point conversion, giving Denver a 24–10 lead with 3:08 left and essentially putting the game away"
ContextAware,dense_numpy,Who ran the ball twice for 20 yards on this drive?,C. J. Anderson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who tackled Ronnie Hillman for a loss of yardage?,Shaq Thompson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",manning
ContextAware,dense_numpy,Who kicked the field goal for Denver on the first drive of Super Bowl 50?,Brandon McManus,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,manning
ContextAware,dense_numpy,Who did Peyton Manning complete an 18 yard pass to on the opening drive?,Owen Daniels,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,Owen Daniels
ContextAware,dense_numpy,Who scored the first points for Denver?,Brandon McManus,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,manning
ContextAware,dense_numpy,Whose pass to Jerricho Cotchery was ruled incomplete?,Cam Newton,"The two most prominent frankish families to arrive in the Mediterranean were descendants of Tancred of Hauteville and the lombard family, of whom Rainulf Drengot received the county of Aversa, the fir",Rainulf Drengot
ContextAware,dense_numpy,Who stripped the ball from Cam Newton while sacking him on this drive?,Von Miller,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",denver
